date,transaction,players
2026-04-24,Brewers signed free agent Josue Jean to a minor league contract.,
2026-04-24,Brewers recalled LHP Shane Drohan from Nashville Sounds.,['Shane Drohan']
2026-04-24,Brewers recalled 3B Tyler Black from Nashville Sounds.,['Tyler Black']
2026-04-24,Brewers optioned RHP Carlos Rodriguez to Nashville Sounds.,['Carlos Rodriguez']
2026-04-24,Brewers designated RF Luis Matos for assignment.,['Luis Matos']
2026-04-23,Brewers activated RHP Craig Yoho from the 15-day injured list.,['Craig Yoho']
2026-04-23,Brewers optioned RHP Craig Yoho to Nashville Sounds.,['Craig Yoho']
2026-04-22,Brewers sent RHP Quinn Priester on a rehab assignment to Nashville Sounds.,['Quinn Priester']
2026-04-22,Brewers signed free agent OF Mark Coley II to a minor league contract.,['Mark Coley II']
2026-04-19,Brewers sent RHP Craig Yoho on a rehab assignment to Nashville Sounds.,['Craig Yoho']
2026-04-18,Brewers recalled RHP Carlos Rodriguez from Nashville Sounds.,['Carlos Rodriguez']
2026-04-18,Brewers optioned RHP Coleman Crow to Nashville Sounds.,['Coleman Crow']
2026-04-17,Brewers recalled RHP Coleman Crow from Nashville Sounds.,['Coleman Crow']
2026-04-17,Brewers optioned RHP Easton McGee to Nashville Sounds.,['Easton McGee']
2026-04-17,Brewers signed free agent OF Jesus Mancera to a minor league contract.,['Jesus Mancera']
2026-04-16,C William Contreras changed number to 24.,['William Contreras']
2026-04-16,RF Greg Jones changed number to 40.,['Greg Jones']
2026-04-16,2B David Hamilton changed number to 6.,['David Hamilton']
2026-04-16,LF Brandon Lockridge changed number to 20.,['Brandon Lockridge']
2026-04-16,RHP Easton McGee changed number to 50.,['Easton McGee']
2026-04-16,RF Luis Matos changed number to 21.,['Luis Matos']
2026-04-16,RHP Jacob Misiorowski changed number to 32.,['Jacob Misiorowski']
2026-04-16,RHP Trevor Megill changed number to 29.,['Trevor Megill']
2026-04-16,RHP Chad Patrick changed number to 39.,['Chad Patrick']
2026-04-16,CF Blake Perkins changed number to 16.,['Blake Perkins']
2026-04-16,RHP Grant Anderson changed number to 56.,['Grant Anderson']
2026-04-16,LHP Aaron Ashby changed number to 26.,['Aaron Ashby']
2026-04-16,1B Jake Bauers changed number to 9.,['Jake Bauers']
2026-04-16,RF Sal Frelick changed number to 10.,['Sal Frelick']
2026-04-16,RHP Jake Woodford changed number to 41.,['Jake Woodford']
2026-04-16,LHP DL Hall changed number to 37.,['DL Hall']
2026-04-16,RHP Abner Uribe changed number to 45.,['Abner Uribe']
2026-04-16,C Gary Sánchez changed number to 99.,['Gary Sánchez']
2026-04-16,SS Joey Ortiz changed number to 3.,['Joey Ortiz']
2026-04-16,CF Garrett Mitchell changed number to 5.,['Garrett Mitchell']
2026-04-16,LHP Angel Zerpa changed number to 61.,['Angel Zerpa']
2026-04-16,2B Brice Turang changed number to 2.,['Brice Turang']
2026-04-16,3B Luis Rengifo changed number to 13.,['Luis Rengifo']
2026-04-16,RHP Brandon Woodruff changed number to 53.,['Brandon Woodruff']
2026-04-16,RHP Brandon Sproat changed number to 23.,['Brandon Sproat']
2026-04-16,LHP Kyle Harrison changed number to 52.,['Kyle Harrison']
2026-04-15,RHP Trevor Megill changed number to 42.,['Trevor Megill']
2026-04-15,C Gary Sánchez changed number to 42.,['Gary Sánchez']
2026-04-15,RF Luis Matos changed number to 42.,['Luis Matos']
2026-04-15,RHP Brandon Sproat changed number to 42.,['Brandon Sproat']
2026-04-15,RHP Chad Patrick changed number to 42.,['Chad Patrick']
2026-04-15,LF Brandon Lockridge changed number to 42.,['Brandon Lockridge']
2026-04-15,Arizona Diamondbacks traded RHP Junior Fernández to Brewers.,['Junior Fernández']
2026-04-15,RHP Jacob Misiorowski changed number to 42.,['Jacob Misiorowski']
2026-04-15,LHP Aaron Ashby changed number to 42.,['Aaron Ashby']
2026-04-15,RHP Abner Uribe changed number to 42.,['Abner Uribe']
2026-04-15,LHP Angel Zerpa changed number to 42.,['Angel Zerpa']
2026-04-15,RHP Easton McGee changed number to 42.,['Easton McGee']
2026-04-15,1B Jake Bauers changed number to 42.,['Jake Bauers']
2026-04-15,2B Brice Turang changed number to 42.,['Brice Turang']
2026-04-15,SS Joey Ortiz changed number to 42.,['Joey Ortiz']
2026-04-15,RHP Jake Woodford changed number to 42.,['Jake Woodford']
2026-04-15,CF Blake Perkins changed number to 42.,['Blake Perkins']
2026-04-15,LHP Kyle Harrison changed number to 42.,['Kyle Harrison']
2026-04-15,C William Contreras changed number to 42.,['William Contreras']
2026-04-15,RHP Brandon Woodruff changed number to 42.,['Brandon Woodruff']
2026-04-15,CF Garrett Mitchell changed number to 42.,['Garrett Mitchell']
2026-04-15,2B David Hamilton changed number to 42.,['David Hamilton']
2026-04-15,3B Luis Rengifo changed number to 42.,['Luis Rengifo']
2026-04-15,RF Sal Frelick changed number to 42.,['Sal Frelick']
2026-04-15,RF Greg Jones changed number to 42.,['Greg Jones']
2026-04-15,LHP DL Hall changed number to 42.,['DL Hall']
2026-04-15,RHP Grant Anderson changed number to 42.,['Grant Anderson']
2026-04-14,Brewers placed LHP Rob Zastryzny on the 60-day injured list. Left shoulder strain.,['Rob Zastryzny']
2026-04-14,"Brewers placed LF Christian Yelich on the 10-day injured list retroactive to April 13, 2026. Left groin strain.",['Christian Yelich']
2026-04-14,Brewers selected the contract of RF Greg Jones from Nashville Sounds.,['Greg Jones']
2026-04-10,Brewers recalled RHP Easton McGee from Nashville Sounds.,['Easton McGee']
2026-04-09,Brewers signed free agent RHP Reiss Knehr to a minor league contract.,['Reiss Knehr']
2026-04-09,Brewers optioned LHP Shane Drohan to Nashville Sounds.,['Shane Drohan']
2026-04-08,Brewers traded RF Steward Berroa to Philadelphia Phillies for cash.,['Steward Berroa']
2026-04-06,"Brewers placed LHP Jared Koenig on the 15-day injured list retroactive to April 5, 2026. Left elbow sprain.",['Jared Koenig']
2026-04-06,Brewers recalled LHP Shane Drohan from Nashville Sounds.,['Shane Drohan']
2026-04-05,Brewers optioned RHP Logan Henderson to Nashville Sounds.,['Logan Henderson']
2026-04-04,Colorado Rockies claimed LHP Sammy Peralta off waivers from Brewers.,['Sammy Peralta']
2026-04-04,Brewers recalled RHP Logan Henderson from Nashville Sounds.,['Logan Henderson']
2026-04-03,Brewers designated RF Steward Berroa for assignment.,['Steward Berroa']
2026-04-03,Brewers selected the contract of SS Cooper Pratt from Nashville Sounds.,['Cooper Pratt']
