gm,game_date,home_away,opp,result,r,ra,record,rank,gb,time,time_minutes,day_night,attendance,year,wins,losses,win_pct,game_day
21,2026-04-19,away,MIA,L,3,5,12-9,4,-1.5,2:54:00,174,D,24553,2026,12,9,0.57,Sunday
20,2026-04-18,away,MIA,W,5,2,12-8,2,-0.5,2:53:00,173,D,15446,2026,12,8,0.6,Saturday
19,2026-04-17,away,MIA,W,7,5,11-8,3,-0.5,3:19:00,199,N,11103,2026,11,8,0.58,Friday
18,2026-04-16,home,TOR,W,2,1,10-8,3,-0.5,2:15:00,135,D,23098,2026,10,8,0.56,Thursday
17,2026-04-15,home,TOR,W,2,1,9-8,4,-1.5,2:26:00,146,N,23092,2026,9,8,0.53,Wednesday
16,2026-04-14,home,TOR,L,7,9,8-8,4,-1.5,3:21:00,201,N,25143,2026,8,8,0.5,Tuesday
15,2026-04-12,home,WSN,L,6,8,8-7,3,-1.0,2:43:00,163,D,26924,2026,8,7,0.53,Sunday
14,2026-04-11,home,WSN,L,1,3,8-6,3,-1.0,2:44:00,164,N,36442,2026,8,6,0.57,Saturday
13,2026-04-10,home,WSN,L,3,7,8-5,1,0.0,2:53:00,173,N,30196,2026,8,5,0.62,Friday
12,2026-04-08,away,BOS,L,0,5,8-4,1,0.0,2:36:00,156,D,28660,2026,8,4,0.67,Wednesday
11,2026-04-07,away,BOS,L,2,3,8-3,1,0.0,2:32:00,152,N,33193,2026,8,3,0.73,Tuesday
10,2026-04-06,away,BOS,W,8,6,8-2,1,1.0,3:13:00,193,N,35107,2026,8,2,0.8,Monday
9,2026-04-05,away,KCR,W,8,5,7-2,1,1.0,3:05:00,185,D,14584,2026,7,2,0.78,Sunday
7,2026-04-04,away,KCR,W,5,2,6-1,1,1.0,2:58:00,178,D,17055,2026,6,1,0.86,Saturday
8,2026-04-04,away,KCR,L,2,8,6-2,1,1.0,2:46:00,166,N,12732,2026,6,2,0.75,Saturday
6,2026-04-01,home,TBR,W,8,2,5-1,1,1.0,2:48:00,168,D,21949,2026,5,1,0.83,Wednesday
5,2026-03-31,home,TBR,W,6,2,4-1,1,1.0,2:33:00,153,N,20010,2026,4,1,0.8,Tuesday
4,2026-03-30,home,TBR,L,2,3,3-1,1,0.0,2:33:00,153,N,20022,2026,3,1,0.75,Monday
3,2026-03-29,home,CHW,W,9,7,3-0,1,1.0,3:07:00,187,D,32737,2026,3,0,1.0,Sunday
2,2026-03-28,home,CHW,W,6,1,2-0,1,0.0,3:01:00,181,N,36030,2026,2,0,1.0,Saturday
1,2026-03-26,home,CHW,W,14,2,1-0,1,0.0,3:06:00,186,D,43001,2026,1,0,1.0,Thursday
162,2025-09-28,home,CIN,W,4,2,97-65,1,5.0,2:35:00,155,D,41055,2025,97,65,0.6,Sunday
161,2025-09-27,home,CIN,L,4,7,96-65,1,5.0,3:08:00,188,N,40801,2025,96,65,0.6,Saturday
160,2025-09-26,home,CIN,L,1,3,96-64,1,6.0,2:19:00,139,N,40316,2025,96,64,0.6,Friday
159,2025-09-24,home,SDP,W,3,1,96-63,1,6.5,2:50:00,170,D,41462,2025,96,63,0.6,Wednesday
158,2025-09-23,home,SDP,L,0,7,95-63,1,6.5,2:13:00,133,N,44089,2025,95,63,0.6,Tuesday
157,2025-09-22,home,SDP,L,4,5,95-62,1,6.5,3:26:00,206,N,42371,2025,95,62,0.61,Monday
156,2025-09-21,home,STL,L,1,5,95-61,1,7.0,2:28:00,148,D,32723,2025,95,61,0.61,Sunday
155,2025-09-20,home,STL,W,3,2,95-60,1,7.0,2:44:00,164,N,36212,2025,95,60,0.61,Saturday
154,2025-09-19,home,STL,L,1,7,94-60,1,6.0,2:47:00,167,N,29752,2025,94,60,0.61,Friday
153,2025-09-18,home,LAA,W,5,2,94-59,1,6.0,2:35:00,155,N,34261,2025,94,59,0.61,Thursday
