stat_label,stat,value,category,context_value,context_value_label
Wins,wins,0,standings,97,This point last season
Losses,losses,0,standings,65,This point last season
Record,record,0-0,standings,97-65,This point last season
Win percentage,win_pct,0%,standings,60%,This point last season
Games up/back,games_up_back,10,standings,1st,Division rank
Avg. home attendance,mean_attendance,"27,218",standings,95,Home games this season
Runs,runs,742,standings,2nd,League rank
Runs against,runs_against,549,standings,634,This point last season
Run differential,run_differential,193,standings,172,This point last season
Batting average,batting_average,.259,batting,N/A,Last decade average
Home runs,home_runs,141,batting,29th,League rank
Home runs/game,home_runs_game,0.95,batting,N/A,Last decade average
On-base percentage,on_base_pct,.341,batting,N/A,Last decade average
Stolen bases,stolen_bases,143,batting,5th,League rank
Stolen bases/game,stolen_bases_game,0.88,batting,N/A,Rate all last season
Strikeouts,strikeouts,"1,414",pitching,2nd,League rank
Walks,walks,477,pitching,20th,League rank
ERA,era,3.53,pitching,2nd,League rank
Last updated,update_time,"September 12, 2026, 12:43 PM CT",summary,,
Team summary,summary,"<span class='highlight'>MILWAUKEE</span> <span class='updated'>(September 12)</span> — The Brewers have compiled a <span class='highlight'>92-56</span> record in the 2026 regular season, a <span class='highlight'>62%</span> winning percentage.  The last game was a <span class='highlight'>20-0</span> home <span class='highlight'>win</span>. and the next game is Saturday at 6:10 p.m. CT at <span class='highlight'>American Family Field</span>.",summary,,
Last game result,last_game_result,win,summary,,
